Url,Style or Sku,Name,Color,Size,Quantity,Price
https://www.columbia.com/p/mens-pfg-bahama-ii-long-sleeve-shirt-1011621.html,1011621,Men�s PFG Bahama� II Long Sleeve Shirt,23,XXS,2,$58.00 
https://www.columbia.com/p/womens-newton-ridge-bc-boot-2044571.html,2044571,Women's Newton Ridge� BC Boot,679,5.5,1,$50.00 
