Url,Style or Sku,Name,Color,Size,Quantity,Price
https://www.ae.com/us/en/p/women/jeggings-skinny-jeans/curvy-jeggings-skinny-jeans/ae-next-level-curvy-high-waisted-ripped-jegging/3439_5134_916,3439-5134,AE Next Level Curvy High-Waisted Ripped Jegging,Destroyed Light Wash,2 Short,3,$41.97 
https://www.ae.com/us/en/p/women/jeggings-skinny-jeans/curvy-jeggings-skinny-jeans/ae-next-level-curvy-high-waisted-jegging/3439_5242_876,3439_5242_876,AE Next Level Curvy High-Waisted Jegging,Cool Torn,4 Short,3,$35.97
